rule_id,rule_type,subject_selector_type,subject_selector_id,subject_must_be_selected,applies_when_condition_set_id,target_condition_set_id,violation_behavior,message,priority,active
dep_colored_cover_requires_zz3_convertible,requires,selectable_set,set_ls6_engine_covers_colored,true,cs_convertible,cs_selected_zz3,disable_and_block,Requires ZZ3 Convertible Engine Appearance Package.,10,true
dep_bc7_requires_zz3_convertible,requires,selectable,opt_bc7_001,true,cs_convertible,cs_selected_zz3,disable_and_block,Requires ZZ3 Convertible Engine Appearance Package.,10,true
dep_excl_5v7_sti,excludes,selectable,opt_5v7_001,true,,cs_selected_sti,disable_and_block,"Blocked by 5V7 LPO, Black Ground Effects.",100,true
dep_excl_5v7_tvs,excludes,selectable,opt_5v7_001,true,,cs_selected_tvs,disable_and_block,"Blocked by 5V7 LPO, Black Ground Effects.",101,true
dep_excl_sti_5v7,excludes,selectable,opt_sti_001,true,,cs_selected_5v7,disable_and_block,"Blocked by STI LPO, Composite rocker extensions.",102,true
dep_excl_sti_5vm,excludes,selectable,opt_sti_001,true,,cs_ref_selected_5vm,disable_and_block,"Blocked by STI LPO, Composite rocker extensions.",103,true
dep_excl_sti_5w8,excludes,selectable,opt_sti_001,true,,cs_ref_selected_5w8,disable_and_block,"Blocked by STI LPO, Composite rocker extensions.",104,true
dep_excl_5vm_sti,excludes,non_selectable_reference,ref_5vm,true,,cs_selected_sti,disable_and_block,"Blocked by 5VM LPO, Visible Carbon Fiber Ground Effects.",105,true
dep_excl_5w8_sti,excludes,non_selectable_reference,ref_5w8,true,,cs_selected_sti,disable_and_block,"Blocked by 5W8 LPO, Carbon Fiber Ground Effects.",106,true
dep_excl_5v7_5vm,excludes,selectable,opt_5v7_001,true,,cs_ref_selected_5vm,disable_and_block,"Blocked by 5V7 LPO, Black Ground Effects.",107,true
dep_excl_5v7_5w8,excludes,selectable,opt_5v7_001,true,,cs_ref_selected_5w8,disable_and_block,"Blocked by 5V7 LPO, Black Ground Effects.",108,true
dep_excl_pcu_5v7,excludes,selectable,opt_pcu_001,true,,cs_selected_5v7,disable_and_block,"Blocked by PCU LPO, Stingray Protection Package.",122,true
dep_excl_pcu_5vm,excludes,selectable,opt_pcu_001,true,,cs_ref_selected_5vm,disable_and_block,"Blocked by PCU LPO, Stingray Protection Package.",123,true
dep_excl_pcu_5w8,excludes,selectable,opt_pcu_001,true,,cs_ref_selected_5w8,disable_and_block,"Blocked by PCU LPO, Stingray Protection Package.",124,true
dep_excl_r88_eyk,excludes,selectable,opt_r88_001,true,,cs_selected_eyk,disable_and_block,"Blocked by R88 LPO, Illuminated crossed flags emblem.",176,true
dep_excl_r88_sfz,excludes,selectable,opt_r88_001,true,,cs_selected_sfz,disable_and_block,"Blocked by R88 LPO, Illuminated crossed flags emblem.",177,true
dep_excl_r88_dpb,excludes,selectable,opt_r88_001,true,,cs_selected_dpb,disable_and_block,"Blocked by R88 LPO, Illuminated crossed flags emblem.",178,true
dep_excl_r88_dpc,excludes,selectable,opt_r88_001,true,,cs_selected_dpc,disable_and_block,"Blocked by R88 LPO, Illuminated crossed flags emblem.",179,true
dep_excl_r88_dpg,excludes,selectable,opt_r88_001,true,,cs_selected_dpg,disable_and_block,"Blocked by R88 LPO, Illuminated crossed flags emblem.",180,true
dep_excl_r88_dpl,excludes,selectable,opt_r88_001,true,,cs_selected_dpl,disable_and_block,"Blocked by R88 LPO, Illuminated crossed flags emblem.",181,true
dep_excl_r88_dpt,excludes,selectable,opt_r88_001,true,,cs_selected_dpt,disable_and_block,"Blocked by R88 LPO, Illuminated crossed flags emblem.",182,true
dep_excl_r88_dsy,excludes,selectable,opt_r88_001,true,,cs_selected_dsy,disable_and_block,"Blocked by R88 LPO, Illuminated crossed flags emblem.",183,true
dep_excl_r88_dsz,excludes,selectable,opt_r88_001,true,,cs_selected_dsz,disable_and_block,"Blocked by R88 LPO, Illuminated crossed flags emblem.",184,true
dep_excl_r88_dt0,excludes,selectable,opt_r88_001,true,,cs_selected_dt0,disable_and_block,"Blocked by R88 LPO, Illuminated crossed flags emblem.",185,true
dep_excl_r88_dth,excludes,selectable,opt_r88_001,true,,cs_selected_dth,disable_and_block,"Blocked by R88 LPO, Illuminated crossed flags emblem.",186,true
dep_excl_r88_dub,excludes,selectable,opt_r88_001,true,,cs_selected_dub,disable_and_block,"Blocked by R88 LPO, Illuminated crossed flags emblem.",187,true
dep_excl_r88_due,excludes,selectable,opt_r88_001,true,,cs_selected_due,disable_and_block,"Blocked by R88 LPO, Illuminated crossed flags emblem.",188,true
dep_excl_r88_duk,excludes,selectable,opt_r88_001,true,,cs_selected_duk,disable_and_block,"Blocked by R88 LPO, Illuminated crossed flags emblem.",189,true
dep_excl_r88_duw,excludes,selectable,opt_r88_001,true,,cs_selected_duw,disable_and_block,"Blocked by R88 LPO, Illuminated crossed flags emblem.",190,true
dep_excl_rnx_5zu,excludes,selectable,opt_rnx_001,true,,cs_selected_5zu,disable_and_block,"Blocked by RNX LPO, Premium outdoor car cover.",191,true
dep_excl_rnx_5zw,excludes,selectable,opt_rnx_001,true,,cs_ref_selected_5zw,disable_and_block,"Blocked by RNX LPO, Premium outdoor car cover.",192,true
dep_excl_rnx_5zz,excludes,selectable,opt_rnx_001,true,,cs_selected_5zz,disable_and_block,"Blocked by RNX LPO, Premium outdoor car cover.",182,true
